pgn,freq
e4=e5=Qh5=Nc6=Bc4=Nf6=Qxf7#,939
e4=e5=Qh5=g6=Qxe5+=Be7=Qxh8,717
e4=e5=Qh5=Nc6=Bc4=g6=Qf3=Nd4=Qxf7#,673
e4=e5=Qh5=d6=Bc4=Nf6=Qxf7#,658
e4=e5=Qh5=g6=Qxe5+=Qe7=Qxh8,413
e4=e5=Qh5=g6=Qxe5+=Ne7=Qxh8,411
e4=e5=Nf3=Nf6=Nxe5=Nxe4=Qf3=d5=Qxf7#,334
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Ke8=Bxd5=Nd4=Qf7#,289
e4=e5=Bc4=Nc6=Qh5=Nf6=Qxf7#,279
e4=e5=d4=exd4=Qxd4=Nc6=Qc3=Bb4,256
e4=e5=Qh5=d6=Bc4=g6=Qf3=Nc6=Qxf7#,199
e4=e5=Nf3=Nc6=Bc4=Bc5=Ng5=Qxg5,187
e4=e5=Qh5=Nc6=Bc4=g6=Qf3=d6=Qxf7#,172
e4=e5=Qh5=Nc6=Bc4=g6=Qf3=Bc5=Qxf7#,165
e4=e5=Bc4=Nc6=Qf3=Nd4=Qxf7#,162
e4=e5=Qh5=Nc6=Bc4=g6=Qf3=Bg7=Qxf7#,162
e4=d5=exd5=Qxd5=Nc3=Qc6=Bb5,155
e4=e5=Nf3=Nc6=Bc4=Nd4=Nxe5=Qg5=Nxf7=Qxg2=Rf1=Qxe4+=Be2=Nf3#,153
e4=e5=Qf3=Nc6=Bc4=Nd4=Qxf7#,149
e4=e5=Bc4=d6=Qf3=Nc6=Qxf7#,134
e4=e5=Bc4=Nc6=Qf3=d6=Qxf7#,127
e4=e5=Bc4=d6=Qh5=Nf6=Qxf7#,124
e4=e5=Qh5=g6=Qxe5+=Be7=Qxh8=Bf6=Qxg8+=Ke7=Qxh7,108
e4=e5=Qf3=d6=Bc4=Nc6=Qxf7#,108
e4=e5=Qh5=d6=Bc4=g6=Qf3=h5=Qxf7#,104
e4=e5=Bc4=Bc5=Qh5=Nf6=Qxf7#,99
e4=d5=Nf3=dxe4=Nd4=Qxd4,98
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=h6=Nxf7,96
e4=e5=Qf3=Nc6=Bc4=d6=Qxf7#,95
e4=e5=Bc4=Nc6=Qf3=Bc5=Qxf7#,93
e4=e5=Qh5=d6=Bc4=g6=Qf3=Bg7=Qxf7#,90
e4=e5=Nf3=Nf6=Nxe5=Nxe4=Qf3=d6=Qxf7#,89
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Qf3=f6=Bxd5=fxg5=Qf7#,87
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Kg8=Bxd5+=Be6=Bxe6#,85
e4=e5=Bc4=c6=Qf3=b5=Qxf7#,85
e4=e5=d4=Nc6=d5=Nd4=c3,84
e4=e5=Qh5=d6=Bc4=g6=Qf3=a6=Qxf7#,84
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Kg8=Bxd5+,80
e4=e5=Qh5=d6=Bc4=Be6=Bxe6=Nf6=Qxf7#,79
e4=e5=Bc4=a6=Qf3=b5=Qxf7#,77
e4=e5=d4=Nc6=d5=Nd4=c3=Nb5=Bxb5,76
e4=e5=Qh5=Nc6=Bc4=d6=Qxf7#,76
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Kg8=Bxd5+=Qxd5=Qxd5+=Be6=Qxe6#,76
e4=e5=d4=f6=dxe5=fxe5=Qh5+=Ke7=Qxe5+=Kf7=Bc4+=Kg6=Qf5#,76
e4=e5=Bc4=Nc6=Qh5=g6=Qf3=Nd4=Qxf7#,73
e4=e5=Qh5=Nc6=Bc4=g6=Qf3=a6=Qxf7#,72
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5,71
e4=e5=Qh5=d6=Bc4=g6=Qf3=c6=Qxf7#,71
e4=e5=Qh5=g6=Qxe5+=Be7=Qxh8=Bf6=Qxg8+,69
e4=e5=Bc4=Bc5=Qf3=d6=Qxf7#,69
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=Be7=Nxf7,66
e3=e5=Qh5=g6=Qxe5+=Be7=Qxh8,65
e4=e5=Nf3=d6=Bc4=Bg4=h3=Bxf3=Qxf3=Nc6=Qxf7#,64
e4=e5=Qh5=Bd6=Bc4=Nf6=Qxf7#,63
e3=e5=Qh5=Nc6=Bc4=Nf6=Qxf7#,63
d4=d5=c4=dxc4=e3=b5=a4=c6=axb5=cxb5=Qf3=Qa5+=Rxa5,62
e4=e5=Bc4=Qh4=Qf3=Nc6=Qxf7+=Kd8=Qxf8#,62
e3=e5=Qh5=g6=Qxe5+=Qe7=Qxh8,60
e4=e5=Qf3=Nc6=Bc4=Bc5=Qxf7#,59
e4=e5=Nf3=Nf6=Nxe5=Nxe4=Qe2=Nf6=Nc6+,59
e4=e5=d4=exd4=Qxd4=Nc6=Qc3=Bb4=Qxb4=Nxb4=c3=Nc2+,59
e4=e5=Bc4=Bc5=Qh5=Nc6=Qxf7#,58
e4=e5=Bc4=Bc5=Qh5=d6=Qxf7#,57
g3=e5=f4=exf4=gxf4=Qh4#,56
d4=d5=c4=dxc4=e3=b5=a4=c6=axb5=cxb5=Qf3,55
e4=d5=Qf3=d4=Bc4=e5=Qxf7#,55
e4=e5=Bc4=d6=Qf3=c6=Qxf7#,55
e4=e5=Qh5=Nc6=Bc4=Bc5=Qxf7#,53
e4=e5=Qh5=Nf6=Bc4=Nxh5,53
e4=e5=Qh5=d6=Bc4=Nc6=Qxf7#,53
e4=e5=Qh5=d6=Bb5+=c6=Bc4=Nf6=Qxf7#,51
e4=e5=d4=exd4=Qxd4=Nc6=Qc5=Bxc5,50
e4=e5=Nf3=Nf6=Nxe5=Nxe4=Qe2=Nf6=Nc6+=Be7=Nxd8,50
e4=e5=Nf3=f5=exf5=Bc5=Nxe5=Bxf2+=Kxf2=Qh4+=Kg1=Qd4#,49
e4=e5=Qh5=Nf6=Qxe5+=Qe7=Qxc7,49
e4=e5=Nf3=Nc6=Bc4=d6=d3=Bg4=h3=Bxf3=Qxf3=Nd4=Qxf7#,48
e4=e5=Qh5=d6=Bc4=Be6=Bxe6,48
e4=c5=Qh5=e6=Qxc5=Bxc5,47
e3=e5=Qh5=g6=Qxe5+=Ne7=Qxh8,47
