pgn,freq
e4-e5-Qh5-g6-Qxe5+-Be7-Qxh8,82
e4-e5-Qh5-d6-Bc4-Nf6-Qxf7#,71
e4-e5-Bc4-d6-Qh5-Nf6-Qxf7#,57
e4-d5-exd5-Qxd5-Nc3-Qc6-Bb5,56
e4-e5-d4-exd4-Qxd4-Nc6-Qc3-Bb4,56
e4-e5-Qh5-g6-Qxe5+-Ne7-Qxh8,54
e4-e5-Qh5-g6-Qxe5+-Qe7-Qxh8,51
e4-e5-Nf3-Nf6-Nxe5-Nxe4-Qf3-d5-Qxf7#,51
e4-e5-Bc4-Nc6-Qf3-d6-Qxf7#,50
e4-e5-d4-f6-dxe5-fxe5-Qh5+-Ke7-Qxe5+-Kf7-Bc4+-Kg6-Qf5#,49
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-Qf3+-Kg8-Bxd5+,45
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-Qf3+-Kg8-Bxd5+-Qxd5-Qxd5+-Be6-Qxe6#,45
e4-e5-Bc4-Nc6-Qf3-Bc5-Qxf7#,43
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-Qf3+-Kg8-Bxd5+-Be6-Bxe6#,41
e4-e5-Nf3-Nc6-Bc4-Bc5-Ng5-Qxg5,41
e4-e5-Bc4-Nc6-Nf3-Nd4-Nxe5-Qg5-Nxf7-Qxg2-Rf1-Qxe4+-Be2-Nf3#,38
d4-d5-c4-dxc4-e3-b5-a4-c6-axb5-cxb5-Qf3,38
d4-d5-c4-dxc4-e3-b5-a4-c6-axb5-cxb5-Qf3-Qa5+-Rxa5,37
e4-e5-Nf3-Nf6-Nxe5-Nxe4-Qe2-Nf6-Nc6+,35
e4-e5-Bc4-d6-Qf3-Nc6-Qxf7#,34
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-Qf3+-Ke8-Bxd5-Bd7-Qf7#,33
e4-e5-Qf3-Nc6-Bc4-Nd4-Qxf7#,32
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Qf3-f6-Bxd5-fxg5-Qf7#,32
d4-e6-Nf3-d5-Bg5-c5-Bxd8,31
b4-e5-Bb2-Bxb4-Bxe5-Nc6-Bxg7,29
e4-e5-Qh5-d6-Bc4-g6-Qf3-Nc6-Qxf7#,29
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-Qf3+-Kg8-Bxd5+-Qxd5-Qxd5+,28
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-h6-Nxf7,28
e4-e5-Nf3-Nf6-Nxe5-Nxe4-Qe2-Nf6-Nc6+-Be7-Nxd8,27
e4-e5-Nf3-d6-Bc4-h6-Nc3-Bg4-Nxe5-Bxd1-Bxf7+-Ke7-Nd5#,27
d4-d5-c4-e5-dxe5-d4-e3-Bb4+-Bd2-dxe3-Bxb4-exf2+-Ke2-fxg1=N+-Rxg1-Bg4+,27
e4-e5-d4-Nc6-d5-Nd4-c3,26
d4-e5-dxe5-Nc6-Nf3-Qe7-Bf4-Qb4+-Bd2-Qxb2-Bc3-Bb4-Qd2-Bxc3-Qxc3-Qc1#,26
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-Be7-Nxf7,25
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nd4-d6-Qxd6-Nxf7-Qc6-Nxh8-Qxg2-Rf1-Qe4+-Be2-Nf3#,24
e4-e5-Qh5-Nc6-Bc4-g6-Qf3-Bc5-Qxf7#,24
e4-e5-Nf3-Nc6-d4-exd4-Nxd4-Bc5-Nxc6-Qf6-Nc3-Qxf2#,24
e4-e5-Qh5-Nc6-Bc4-g6-Qf3-d6-Qxf7#,22
e4-d5-exd5-Qxd5-Nc3-Nc6-Nxd5,22
e4-e5-Nf3-Nc6-Bb5-Bc5-Bxc6-dxc6-Nxe5-Qd4-Nf3-Qxf2#,22
e4-e5-Bc4-Nc6-Qf3-h6-Qxf7#,22
b4-e5-Bb2-Nc6-b5-Nd4-e3-Nxb5-Bxb5,21
d4-e6-Nf3-c5-Bg5-cxd4-Bxd8,21
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5,21
e4-e5-Bc4-Nc6-Qh5-Bc5-Qxf7#,20
d4-e5-dxe5-Nc6-Nf3-Qe7-Bf4-Qb4+-Qd2-Qxb2-Qc3-Bb4,20
e4-e5-Bc4-Nc6-Qh5-d6-Qxf7#,20
e4-e5-Bc4-a6-Qf3-b5-Qxf7#,20
e4-e5-Qf3-d6-Bc4-Nc6-Qxf7#,20
e4-e5-Bc4-Bc5-Qf3-d6-Qxf7#,19
