pgn,freq
e4=e5=Nf3=Nc6=Bc4=Nd4=Nxe5=Qg5=Nxf7=Qxg2=Rf1=Qxe4+=Be2=Nf3#,1526
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Ke8=Bxd5=Nd4=Qf7#,1502
e4=e5=Qh5=Nc6=Bc4=Nf6=Qxf7#,1429
e4=e5=Bc4=Nc6=Qh5=Nf6=Qxf7#,908
e4=e5=Qh5=Nc6=Bc4=g6=Qf3=Nd4=Qxf7#,893
e4=e5=d4=exd4=Qxd4=Nc6=Qc3=Bb4,717
e4=e5=Qh5=d6=Bc4=Nf6=Qxf7#,673
e4=d5=exd5=Qxd5=Nc3=Qc6=Bb5,623
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Kg8=Bxd5+,485
e4=e5=Nf3=Nf6=Nxe5=Nxe4=Qf3=d5=Qxf7#,474
d4=d5=c4=dxc4=e3=b5=a4=c6=axb5=cxb5=Qf3,441
d4=d5=c4=dxc4=e3=b5=a4=c6=axb5=cxb5=Qf3=Qa5+=Rxa5,438
e4=e5=Nf3=Nc6=Bc4=Bc5=Ng5=Qxg5,424
e4=e5=Qh5=g6=Qxe5+=Be7=Qxh8,416
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Kg8=Bxd5+=Qxd5=Qxd5+=Be6=Qxe6#,393
e4=e5=d4=f6=dxe5=fxe5=Qh5+=Ke7=Qxe5+=Kf7=Bc4+=Kg6=Qf5#,388
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Kg8=Bxd5+=Be6=Bxe6#,371
e4=e5=Bc4=d6=Qh5=Nf6=Qxf7#,361
e4=e5=Bc4=Nc6=Nf3=Nd4=Nxe5=Qg5=Nxf7=Qxg2=Rf1=Qxe4+=Be2=Nf3#,352
e4=e5=Bc4=Nc6=Qf3=d6=Qxf7#,319
e4=e5=Nf3=Nf6=Nxe5=Nxe4=Qe2=Nf6=Nc6+,301
e4=e5=Qh5=g6=Qxe5+=Qe7=Qxh8,295
e4=e5=Bc4=Nc6=Qf3=Bc5=Qxf7#,282
e4=e5=Qh5=g6=Qxe5+=Ne7=Qxh8,278
e4=e5=d4=Nc6=d5=Nd4=c3,270
e4=e5=Qh5=Nc6=Bc4=g6=Qf3=Bg7=Qxf7#,265
e4=e5=Nf3=d6=Bc4=h6=Nc3=Bg4=Nxe5=Bxd1=Bxf7+=Ke7=Nd5#,253
e4=e5=Bc4=d6=Qf3=Nc6=Qxf7#,251
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Ke8=Bxd5=Bd7=Qf7#,238
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Qf3=f6=Bxd5=fxg5=Qf7#,233
e4=e5=Qh5=Nc6=Bc4=g6=Qf3=d6=Qxf7#,231
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Kg8=Bxd5+=Qxd5=Qxd5+,211
e4=e5=Qh5=d6=Bc4=g6=Qf3=Nc6=Qxf7#,210
d4=d5=c4=e5=dxe5=d4=e3=Bb4+=Bd2=dxe3=Bxb4=exf2+=Ke2=fxg1=N+=Rxg1=Bg4+,201
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nd4=d6=Qxd6=Nxf7=Qc6=Nxh8=Qxg2=Rf1=Qe4+=Be2=Nf3#,198
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5,197
b4=e5=Bb2=Bxb4=Bxe5=Nc6=Bxg7,191
e4=e5=Qh5=Nc6=Bc4=g6=Qf3=Bc5=Qxf7#,190
e4=e5=Bc4=Bc5=Qh5=Nf6=Qxf7#,189
e4=e5=d4=Nc6=d5=Nd4=c3=Nb5=Bxb5,181
e4=e5=Nf3=Nc6=Bc4=Nf6,180
e4=e5=Nf3=d6=Bc4=Bg4=h3=Bxf3=Qxf3=Nc6=Qxf7#,180
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=Be7=Nxf7,177
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=h6=Nxf7,174
b4=e5=Bb2=Nc6=b5=Nd4=e3=Nxb5=Bxb5,174
e4=c5=Bc4=e6=d4=cxd4=Qxd4=Nc6=Qc3=Bb4,171
e4=e5=Nf3=Nc6=Bc4=d6=Nc3=Bg4=Nxe5=Bxd1=Bxf7+=Ke7=Nd5#,171
e4=e5=Nf3=Nc6=Bc4=Bc5,171
e4=e5=Nf3=d6=Bc4=Bg4=Nc3=Nc6=Nxe5=Bxd1=Bxf7+=Ke7=Nd5#,170
e4=e5=Nf3=Nc6=Bc4=h6=d4=exd4=Nxd4=Nxd4=Qxd4=c5=Qd5=Nf6=Qxf7#,169
e4=e5=Nf3=Nc6=d4=exd4=Nxd4=Bc5=Nxc6=Qf6=Nc3=Qxf2#,168
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Ke8=Bxd5=Nb4=Qf7#,168
e4=e5=Qf3=Nc6=Bc4=Nd4=Qxf7#,168
e4=g6=Bc4=Bg7=Qf3=b6=Qxf7#,167
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Ke8=Bxd5=Qxd5=Qxd5,167
e4=e5=Bc4=Nc6=Qf3=Nd4=Qxf7#,166
e4=c5=Bc4=Nc6=Qh5=Nf6=Qxf7#,158
e4=e5=Nf3=Nc6=Bb5=Bc5=Bxc6=dxc6=Nxe5=Qd4=Nf3=Qxf2#,153
e4=e5=Nf3=Nf6=Nxe5=Nxe4=Qe2=d5=d3=Nf6=Nc6+,152
e4=e5=Nf3=Nc6=Bc4=Nd4=Nxe5=Qg5=Nxf7=Qxg2=Rhf1=Qxe4+=Be2=Nf3#,151
e4=e5=Bc4=Nc6=Qf3=h6=Qxf7#,150
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Ke8=Bxd5=Bd6=Qf7#,150
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Ke8=Bxd5=Bc5=Qf7#,149
e4=e5=Nf3=Nf6=Nxe5=Nxe4=Qe2=Nf6=Nc6+=Be7=Nxd8,148
d4=e5=dxe5=Nc6=Nf3=Qe7=Bf4=Qb4+=Bd2=Qxb2=Bc3=Bb4=Qd2=Bxc3=Qxc3=Qc1#,147
e4=e5=Bc4=d6=Qf3=h6=Qxf7#,146
e4=e5=Bc4=Bc5=Qh5=Nc6=Qxf7#,146
e4=d5=Nf3=dxe4=Nd4=Qxd4,142
e4=e5=Bc4=Bc5=Qh5=d6=Qxf7#,140
e4=e5=Nf3=f6=Nxe5=fxe5=Qh5+=Ke7=Qxe5+=Kf7=Bc4+=Kg6=Qf5+=Kh6=d4+=g5=h4=Be7=hxg5+=Kg7=Qf7#,138
e4=e5=d4=f6=dxe5=fxe5=Qh5+=g6=Qxe5+,136
e4=e5=Qh5=d6=Bc4=g6=Qf3=Bg7=Qxf7#,135
e4=b6=Bc4=Bb7=Qf3=g6=Qxf7#,134
e4=e5=Nf3=d6=Bc4=Bg4=Nc3=a6=Nxe5=Bxd1=Bxf7+=Ke7=Nd5#,131
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Kg8=Qxd5+=Qxd5=Bxd5+=Be6=Bxe6#,128
e4=d5=exd5=Qxd5=Nc3=Qh5=Qxh5,128
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Na5,127
e4=e5=Qh5=d6=Bc4=Be6=Bxe6=Nf6=Qxf7#,127
d4=Nf6=c4=e5=dxe5=Ng4=Nf3=Nc6=Bf4=Bb4+=Nbd2=Qe7=a3=Ngxe5=axb4=Nd3#,125
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Ke6=Nc3=Nd4=Bxd5+=Ke7=Qf7+=Kd6=Ne4#,124
c4=e5=Nc3=Bc5=g3=Qf6=Bg2=Qxf2#,122
e4=e5=Bc4=c6=Qf3=b5=Qxf7#,121
e4=e5=Nf3=Nc6=Bc4=h6,120
e4=e5=Nf3=d6=d4=Bg4=dxe5=Bxf3=Qxf3=dxe5=Bc4=Nf6=Qb3=b6=Bxf7+=Ke7=Qe6#,119
e4=e5=Nf3=Nc6=Bb5=d6=Bxc6+=bxc6=d4=Bg4=dxe5=dxe5=Qxd8+=Rxd8=Nxe5=Rd1#,118
e4=e5=Bc4=Nc6=Qh5=d6=Qxf7#,116
e4=e5=Nf3=Nc6=d4=exd4=Nxd4,115
b4=e5=Bb2=Bxb4=Bxe5=d6=Bxg7,115
g3=e5=Bg2=Bc5=b3=Qf6=Bb2=Qxf2#,114
d4=d5=c4=e5=dxe5=d4=Nf3=Nc6=e3=Bb4+=Bd2=dxe3=Bxb4=exf2+=Kxf2=Qxd1,113
e4=e5=Bc4=Bc5=Qf3=d6=Qxf7#,113
e4=e5=Nf3=Nc6=Bc4=Be7=d4=exd4=Nxd4=Nxd4=Qxd4=d6=Qxg7=Bf6=Qxf7#,111
e4=e5=Nf3=Nc6=d4=exd4,110
e4=e5=Nf3=Nf6=Nxe5=Qe7=d4=d6=Nf3=Nxe4=Bd3=Nc3+,110
e4=e5=Bc4=Nc6=Qh5=Bc5=Qxf7#,109
e4=e5=Nf3=d6=Bc4=Bg4=d4=Bxf3=Qxf3=exd4=Qxf7#,107
e4=e5=Nf3=d6=d4=Bg4=dxe5=Bxf3=Qxf3=dxe5=Bc4=Nf6=Qb3=b6=Bxf7+=Kd7=Qe6#,107
e4=e5=Nf3=f6=Nxe5=fxe5=Qh5+=Ke7=Qxe5+=Kf7=Bc4+=d5=Bxd5+=Be6=Qxe6#,107
e4=e5=Nf3=Nc6=d4=exd4=Nxd4=Bc5=Nxc6=Qf6=e5=Qxf2#,106
e4=e5=Nf3=d6=Bc4=Bg4=Nc3=h6=Nxe5=Bxd1=Bxf7+=Ke7=Nd5#,106
e4=e5=Nf3=Nc6=Bc4=Nd4=Ng5=Qxg5,105
e4=d5=exd5=Bg4=Nc3=Bxd1,105
e4=e5=Nf3=Bc5=Nxe5=Qh4=Qf3=d6=Qxf7+=Kd8=Qf8#,104
e4=e5=Nf3=Nf6=Nxe5=Nxe4=Qe2=Nd6=Nc6+,104
e4=e5=Qf3=Nc6=Bc4=d6=Qxf7#,103
d4=d5=c4=e5=dxe5=d4=e3=Bb4+=Bd2=dxe3=Bxb4=exf2+=Kxf2=Qxd1,101
e4=c5=Bc4=g6=Qf3=Bg7=Qxf7#,101
e4=d5=exd5=Qxd5=Nc3=Nc6=Nxd5,101
e4=e5=Nf3=d5=exd5=Qxd5=Nc3=Qc6=Bb5,100
e4=e5=Bc4=d6=Qf3=c6=Qxf7#,99
e4=e5=Nf3=Nf6=Nxe5=Nxe4=Qf3=d6=Qxf7#,99
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Qf3=Nd4=Qxf7#,99
e4=e5=Nf3=Nc6=Nc3=Nf6,98
e4=Nc6=d4=e5=d5=Nd4=c3,98
e4=e5=Bc4=Nf6=Nf3=Nc6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Ke8=Bxd5=Nd4=Qf7#,97
e4=e5=f4=exf4=Bc4=Qh4+=Kf1=Bc5=Nf3=Qf2#,97
e4=g6=d4=f5=exf5=gxf5=Qh5#,97
e4=e5=Nf3=Nc6=d4=exd4=Nxd4=Bc5=Nxc6=Qf6=Na5=Qxf2#,97
d4=e6=Nf3=d5=Bg5=c5=Bxd8,97
e4=e5=Nf3=Nc6=Bc4=d6=d3=Bg4=h3=Bxf3=Qxf3=Nd4=Qxf7#,96
e4=d5=exd5=Qxd5=d4=Nc6=Nf3=Bg4=Be2=Bxf3=Bxf3=Qxd4=Bxc6+,95
e4=e5=Bc4=Nc6=Qh5=g6=Qf3=Nd4=Qxf7#,95
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=Bc5=Nxf7=Bxf2+=Kxf2=Nxe4+=Kg1=Qh4=Nxh8=Qf2#,94
e4=e5=Qf3=d6=Bc4=Nc6=Qxf7#,94
e4=d5=exd5=Qxd5=Nc3=Qc4=Bxc4,94
e4=e5=Qh5=d6=Bc4=g6=Qf3=h5=Qxf7#,92
e4=e5=d4=exd4=Qxd4=Nc6=Qc3=Bb4=Qxb4=Nxb4=c3=Nc2+,91
e4=e5=Nf3=Nc6=d4=Bc5=dxc5,91
e4=e5=Bc4=Nf6=Nf3=h6=Nxe5=d6=Nxf7,91
e4=e5=f4=f6=fxe5=fxe5=Qh5+=g6=Qxe5+,90
e4=e5=Nf3=Nf6=Nxe5=Qe7=Nf3=Nxe4=d3=Nc3+,90
e4=d5=exd5=Qxd5=Nc3=Qd8,90
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Ke8=Bxd5,89
e4=b6=Bc4=Bb7=Qf3=Nc6=Qxf7#,88
e4=e5=Nf3=Nc6=Bb5=a6,88
e4=e5=Nf3=f5=exf5=Bc5=Nxe5=Bxf2+=Kxf2=Qh4+=Kg1=Qd4#,87
e4=e5=Nf3=d5=Bc4=dxc4,86
e3=e5=Qh5=Nc6=Bc4=Nf6=Qxf7#,86
e4=e5=Bc4=d6=Qh5=Nc6=Qxf7#,85
e4=e5=Nf3=Nc6=Bc4=Nd4=Nxe5=Qg5=Bxf7+=Ke7=Bxg8=Qxg2=Rf1=Qxe4+,85
e4=e5=f4=exf4=Nf3=Qh4+=Nxh4,84
e4=e5=Nf3=Nc6=Bb5=Nf6,84
e4=e5=Bc4=Nf6=Qh5=Nxh5,84
e4=c5=Nf3=e6=d4=cxd4=Qxd4=Nc6=Qc3=Bb4,84
e4=e5=f4=exf4=Nf3=g5=Bc4=g4=Bxf7+=Kxf7=Ne5+=Ke8=Qxg4=d6=Qh5+=Ke7=Qf7#,84
e4=e5=Qh5=Nc6=Bc4=d6=Qxf7#,84
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=Qe7=Bxf7+,83
e4=e5=Bc4=Bc5=Qh5=g6=Qxe5+,83
e4=g6=Bc4=Bg7=Qf3=c6=Qxf7#,83
e4=e5=Nf3=d6=Nc3=Bg4=Bc4=h6=Nxe5=Bxd1=Bxf7+=Ke7=Nd5#,83
e4=e5=Nf3=Nc6=Bc4=d6=Ng5=Qxg5,82
e4=e5=Bc4=c6=Qh5=d6=Qxf7#,82
e4=d5=Nf3=dxe4=Ng5=Nf6=d3=exd3=Bxd3=h6=Nxf7=Kxf7=Bg6+=Kg8=Qxd8,81
e4=e5=d4=exd4=Qxd4=Nc6,81
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Qf3=Ncb4=Qxf7#,81
e4=d5=exd5=Qxd5=Nc3=Qe6+,81
e4=e5=Nf3=d6=Bc4=h6=d4=Bg4=dxe5=Bxf3=Qxf3=dxe5=Qxf7#,81
e4=e5=Nf3=d6=d4=exd4=Nxd4,80
e4=e5=Qh5=Nc6=Bc4=Nf6,80
e4=d5=exd5=Qxd5=Nc3=Qc6=Bb5=Qxb5=Nxb5=c6=Nc7+,80
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=Qe7=Nxf7,80
e4=e5=Nf3=Nc6=Bc4=Nd4=Nxe5=Qg5=Nxf7=Qxg2=Rf1=Qxe4+,79
e4=e5=Qh5=Nf6=Qxe5+=Qe7=Qxc7,78
e4=e5=Nf3=d6=d4=Bg4=dxe5=Bxf3=Qxf3=dxe5=Bc4=f6=Qb3=Ne7=Bf7+=Kd7=Qe6#,78
e4=e5=Bc4=Bc5=Qf3=Nc6=Qxf7#,78
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d6=Nxf7,78
e4=e5=Nf3=d6=d4=Bg4=dxe5=Bxf3=Qxf3=dxe5=Bc4=Nf6=Qb3=Qd7=Qxb7=Qc6=Bb5,78
e4=c5=Bc4=Nc6=Qf3=g6=Qxf7#,78
e4=e5=Bc4=a6=Qf3=b5=Qxf7#,78
e4=e5=Qh5=d6=Bc4=g6=Qf3=a6=Qxf7#,77
e4=e5=Nf3=f6=Nxe5=fxe5=Qh5+=g6=Qxe5+,77
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+,76
e4=d5=exd5=Qxd5=Nc3=Qa5,76
e4=e5=Nf3=d6=Bc4=Be7=d4=exd4=Qxd4=Nc6=Qxg7=Bf6=Qxf7#,76
d4=b6=Bg5=Bb7=e3=f6=Bh4=g5=Qh5#,76
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7,76
e4=g6=Bc4=Bg7=Qf3=Nc6=Qxf7#,75
e4=c5=Bc4=Nc6=Qf3=e5=Qxf7#,75
e4=e5=Nf3=Qf6=Nc3=c6=d4=d6=dxe5=dxe5=Bg5=Qg6=Qd8#,75
d4=c5=dxc5=e6=b4=a5=c3=axb4=cxb4=Qf6,75
e4=e6=Nf3=d5=exd5=exd5,73
e4=e5=Nf3=d6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Qf3=c6=Qxf7#,73
d4=e5=dxe5=Nc6=Nf3=Qe7=Bf4=Qb4+=Nbd2=Qxf4,73
e4=d5=exd5=Qxd5=Nc3=e6=Nxd5,72
e4=c5=Nf3=d5=exd5=Qxd5=Nc3=Qc6=Bb5,72
e4=e5=Nf3=Nc6=Bb5=d6,72
e4=e5=d4=exd4=Qxd4=Nc6=Qc5=Bxc5,71
e4=e5=Nf3=d6=d4=exd4,71
d4=e6=Nf3=b6=Bg5=Bb7=Bxd8,71
b4=d5=Bb2=e6=e3=Bxb4=Bxg7,71
e4=e5=Bc4=Nf6=Nf3=h6=Nxe5=d5=exd5=Nxd5=Qf3=c6=Qxf7#,71
g3=e5=Bg2=Qf6=b3=Bc5=Bb2=Qxf2#,70
e4=d5=exd5=Qxd5=Nc3=Qb5=Bxb5+,70
