pgn,freq
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-Qf3+-Ke8-Bxd5-Nd4-Qf7#,180
e4-e5-Qh5-Nc6-Bc4-Nf6-Qxf7#,157
e4-e5-Nf3-Nc6-Bc4-Nd4-Nxe5-Qg5-Nxf7-Qxg2-Rf1-Qxe4+-Be2-Nf3#,137
e4-e5-Bc4-Nc6-Qh5-Nf6-Qxf7#,129
e4-e5-Qh5-Nc6-Bc4-g6-Qf3-Nd4-Qxf7#,124
e4-e5-Qh5-g6-Qxe5+-Be7-Qxh8,82
e4-e5-Qh5-d6-Bc4-Nf6-Qxf7#,71
e4-e5-Bc4-d6-Qh5-Nf6-Qxf7#,57
e4-d5-exd5-Qxd5-Nc3-Qc6-Bb5,56
e4-e5-d4-exd4-Qxd4-Nc6-Qc3-Bb4,56
e4-e5-Qh5-g6-Qxe5+-Ne7-Qxh8,54
e4-e5-Qh5-g6-Qxe5+-Qe7-Qxh8,51
e4-e5-Nf3-Nf6-Nxe5-Nxe4-Qf3-d5-Qxf7#,51
e4-e5-Bc4-Nc6-Qf3-d6-Qxf7#,50
e4-e5-d4-f6-dxe5-fxe5-Qh5+-Ke7-Qxe5+-Kf7-Bc4+-Kg6-Qf5#,49
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-Qf3+-Kg8-Bxd5+,45
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-Qf3+-Kg8-Bxd5+-Qxd5-Qxd5+-Be6-Qxe6#,45
e4-e5-Bc4-Nc6-Qf3-Bc5-Qxf7#,43
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-Qf3+-Kg8-Bxd5+-Be6-Bxe6#,41
e4-e5-Nf3-Nc6-Bc4-Bc5-Ng5-Qxg5,41
e4-e5-Bc4-Nc6-Nf3-Nd4-Nxe5-Qg5-Nxf7-Qxg2-Rf1-Qxe4+-Be2-Nf3#,38
d4-d5-c4-dxc4-e3-b5-a4-c6-axb5-cxb5-Qf3,38
d4-d5-c4-dxc4-e3-b5-a4-c6-axb5-cxb5-Qf3-Qa5+-Rxa5,37
e4-e5-Nf3-Nf6-Nxe5-Nxe4-Qe2-Nf6-Nc6+,35
e4-e5-Bc4-d6-Qf3-Nc6-Qxf7#,34
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-Qf3+-Ke8-Bxd5-Bd7-Qf7#,33
e4-e5-Qf3-Nc6-Bc4-Nd4-Qxf7#,32
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Qf3-f6-Bxd5-fxg5-Qf7#,32
d4-e6-Nf3-d5-Bg5-c5-Bxd8,31
b4-e5-Bb2-Bxb4-Bxe5-Nc6-Bxg7,29
e4-e5-Qh5-d6-Bc4-g6-Qf3-Nc6-Qxf7#,29
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-Qf3+-Kg8-Bxd5+-Qxd5-Qxd5+,28
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-h6-Nxf7,28
e4-e5-Nf3-Nf6-Nxe5-Nxe4-Qe2-Nf6-Nc6+-Be7-Nxd8,27
e4-e5-Nf3-d6-Bc4-h6-Nc3-Bg4-Nxe5-Bxd1-Bxf7+-Ke7-Nd5#,27
d4-d5-c4-e5-dxe5-d4-e3-Bb4+-Bd2-dxe3-Bxb4-exf2+-Ke2-fxg1=N+-Rxg1-Bg4+,27
e4-e5-d4-Nc6-d5-Nd4-c3,26
d4-e5-dxe5-Nc6-Nf3-Qe7-Bf4-Qb4+-Bd2-Qxb2-Bc3-Bb4-Qd2-Bxc3-Qxc3-Qc1#,26
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-Be7-Nxf7,25
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nd4-d6-Qxd6-Nxf7-Qc6-Nxh8-Qxg2-Rf1-Qe4+-Be2-Nf3#,24
e4-e5-Qh5-Nc6-Bc4-g6-Qf3-Bc5-Qxf7#,24
e4-e5-Nf3-Nc6-d4-exd4-Nxd4-Bc5-Nxc6-Qf6-Nc3-Qxf2#,24
e4-e5-Qh5-Nc6-Bc4-g6-Qf3-d6-Qxf7#,22
e4-d5-exd5-Qxd5-Nc3-Nc6-Nxd5,22
e4-e5-Nf3-Nc6-Bb5-Bc5-Bxc6-dxc6-Nxe5-Qd4-Nf3-Qxf2#,22
e4-e5-Bc4-Nc6-Qf3-h6-Qxf7#,22
b4-e5-Bb2-Nc6-b5-Nd4-e3-Nxb5-Bxb5,21
d4-e6-Nf3-c5-Bg5-cxd4-Bxd8,21
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5,21
e4-e5-Bc4-Nc6-Qh5-Bc5-Qxf7#,20
d4-e5-dxe5-Nc6-Nf3-Qe7-Bf4-Qb4+-Qd2-Qxb2-Qc3-Bb4,20
e4-e5-Bc4-Nc6-Qh5-d6-Qxf7#,20
e4-e5-Bc4-a6-Qf3-b5-Qxf7#,20
e4-e5-Qf3-d6-Bc4-Nc6-Qxf7#,20
e4-e5-Bc4-Bc5-Qf3-d6-Qxf7#,19
e4-e5-Qh5-Nc6-Bc4-g6-Qf3-Bg7-Qxf7#,19
c4-e5-Nc3-Bc5-g3-Qf6-Bg2-Qxf2#,19
e4-e5-Nf3-d6-Bc4-Bg4-Nc3-Nc6-Nxe5-Bxd1-Bxf7+-Ke7-Nd5#,19
e4-d5-Nf3-dxe4-Nd4-Qxd4,18
e4-e5-Qh5-d6-Bc4-Be6-Bxe6-Nf6-Qxf7#,18
e4-e5-Nf3-Nf6-Nxe5-Nxe4-Qe2-Nd6-Nc6+,18
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-Qf3+-Ke6-Nc3-Nd4-Bxd5+-Ke7-Qf7+-Kd6-Ne4#,18
e4-e5-Nf3-Nc6-d4-exd4-Bc4-Be7-c3-dxc3-Qd5,18
e4-e5-Bc4-Nc6-Qf3-Nd4-Qxf7#,18
e4-e5-Bc4-Bc5-Qh5-Nf6-Qxf7#,18
e4-d5-Nf3-dxe4-Ng5-Nf6-d3-exd3-Bxd3-h6-Nxf7-Kxf7-Bg6+-Kxg6-Qxd8,18
d4-e6-Nf3-b6-Bg5-Bb7-Bxd8,18
d4-d5-c4-e5-dxe5-d4-e3-Bb4+-Bd2-dxe3-Bxb4-exf2+-Kxf2-Qxd1,18
f4-e5-fxe5-d6-exd6-Bxd6-Nf3-g5-h3-Bg3#,18
e4-d5-exd5-Qxd5-Nc3-Qh5-Qxh5,17
e4-d5-exd5-Bg4-Nc3-Bxd1,17
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-Qf3+-Kg8-Qxd5+-Qxd5-Bxd5+-Be6-Bxe6#,17
e4-e5-Nf3-f6-Nxe5-fxe5-Qh5+-Ke7-Qxe5+-Kf7-Bc4+-Kg6-Qf5+-Kh6-d4+-g5-h4-Be7-hxg5+-Kg7-Qf7#,17
b3-g6-Bb2-Bg7-Bxg7-Nf6-Bxh8,17
d4-g6-Nf3-Bg7-Bg5-e6-Bxd8,16
e4-c5-Bc4-Nc6-Qf3-e5-Qxf7#,16
e4-e5-Nf3-Nc6-Bc4-Nd4-Ng5-Qxg5,16
e4-e5-Bc4-Nf6-Qh5-Nxh5,16
e4-e5-Bc4-Bc5-Qh5-d6-Qxf7#,16
e4-d5-exd5-Qxd5-Nc3-Nf6-Nxd5,16
e4-e5-Nf3-Nc6-Bc4-Nf6-Ng5-d5-exd5-Nxd5-Nxf7-Kxf7-Qf3+-Ke8-Bxd5-Bd6-Qf7#,16
e4-e5-Nf3-Nc6-Bc4-Nf6,16
e4-e5-Qh5-g6-Qxe5+-Be7-Qxh8-Bf6-Qxg8+-Ke7-Qxh7,16
e4-e5-Bc4-d6-Qf3-h6-Qxf7#,16
e4-e5-Nf3-d6-Bc4-Bg4-h3-Bxf3-Qxf3-Nc6-Qxf7#,16
e4-c5-Nf3-d6-c3-Nf6-Be2-Nxe4-Qa4+,15
d4-Nf6-c4-e5-dxe5-Ng4-Nf3-Nc6-Bf4-Bb4+-Nbd2-Qe7-a3-Ngxe5-axb4-Nd3#,15
d4-d5-c4-e5-dxe5-d4-Nf3-Nc6-e3-Bb4+-Bd2-dxe3-Bxb4-exf2+-Kxf2-Qxd1,15
e4-c5-c3-Nc6-d4-cxd4-cxd4-d5-exd5-Qxd5-Nf3-Bg4-Be2-Bxf3-Bxf3-Qxd4-Bxc6+,15
