pgn,freq
e4=e5=Nf3=Nc6=Bc4=Nd4=Nxe5=Qg5=Nxf7=Qxg2=Rf1=Qxe4+=Be2=Nf3#,655
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Ke8=Bxd5=Nd4=Qf7#,394
e4=e5=Bc4=Nc6=Qh5=Nf6=Qxf7#,388
d4=e5=dxe5=Nc6=Nf3=Qe7=Bf4=Qb4+=Bd2=Qxb2=Bc3=Bb4=Qd2=Bxc3=Qxc3=Qc1#,309
d4=d5=c4=e5=dxe5=d4=e3=Bb4+=Bd2=dxe3=Bxb4=exf2+=Ke2=fxg1=N+=Rxg1=Bg4+,302
d4=Nf6=c4=e5=dxe5=Ng4=Nf3=Nc6=Bf4=Bb4+=Nbd2=Qe7=a3=Ngxe5=axb4=Nd3#,278
d4=d5=c4=dxc4=e3=b5=a4=c6=axb5=cxb5=Qf3,232
d4=e6=Nf3=d5=Bg5=c5=Bxd8,213
e4=e5=Qh5=Nc6=Bc4=Nf6=Qxf7#,198
e4=e5=d4=f6=dxe5=fxe5=Qh5+=Ke7=Qxe5+=Kf7=Bc4+=Kg6=Qf5#,190
d4=e6=Nf3=b6=Bg5=Bb7=Bxd8,175
d4=e5=dxe5=Nc6=Nf3=Qe7=Bf4=Qb4+=Qd2=Qxb2=Qc3=Bb4,171
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Kg8=Bxd5+,168
e4=e5=Nf3=Nc6=d4=exd4=Nxd4=Bc5=Nxc6=Qf6=Nc3=Qxf2#,165
e4=c5=Nf3=d6=c3=Nf6=Be2=Nxe4=Qa4+,158
e4=c6=d4=d5=Nc3=dxe4=Nxe4=Nd7=Qe2=Ngf6=Nd6#,154
e4=d5=exd5=Bg4=Nc3=Bxd1,152
e4=e5=Nf3=d6=Bc4=h6=Nc3=Bg4=Nxe5=Bxd1=Bxf7+=Ke7=Nd5#,151
e4=e5=Bc4=Nc6=Nf3=Nd4=Nxe5=Qg5=Nxf7=Qxg2=Rf1=Qxe4+=Be2=Nf3#,147
f4=e5=fxe5=d6=exd6=Bxd6=Nf3=g5=h3=Bg3#,141
b4=e5=Bb2=Bxb4=Bxe5=Nc6=Bxg7,140
d4=e5=dxe5=Nc6=Nf3=Qe7=Bf4=Qb4+=Nbd2=Qxf4,138
e4=c5=Nf3=Nc6=d4=cxd4=Nxd4=e5=Nc3=exd4,137
e4=e5=Nf3=d6=d4=Bg4=dxe5=Bxf3=Qxf3=dxe5=Bc4=Nf6=Qb3=Qd7=Qxb7=Qc6=Bb5,134
e4=d5=exd5=Qxd5=Nc3=Qc6=Bb5,132
d4=d5=c4=dxc4=e3=b5=a4=c6=axb5=cxb5=Qf3=Qa5+=Rxa5,128
d4=Nf6=c4=e5=dxe5=Ng4=Bf4=Nc6=Nf3=Bb4+=Nbd2=Qe7=a3=Ngxe5=axb4=Nd3#,128
e4=e5=Nf3=Nc6=d4=exd4=Bc4=Be7=c3=dxc3=Qd5,125
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Ke8=Bxd5=Bd7=Qf7#,117
e4=d5=exd5=Qxd5=d4=Nc6=Nf3=Bg4=Be2=Bxf3=Bxf3=Qxd4=Bxc6+,114
e4=d5=exd5=Qxd5=Nc3=Qa5=b4=c6=bxa5,109
e4=e5=Nf3=d6=d4=Bg4=dxe5=Bxf3=Qxf3=dxe5=Bc4=Nf6=Qb3=b6=Bxf7+=Kd7=Qe6#,108
d4=e6=Nf3=c5=Bg5=cxd4=Bxd8,107
e4=e5=Nf3=f6=Nxe5=fxe5=Qh5+=Ke7=Qxe5+=Kf7=Bc4+=Kg6=Qf5+=Kh6=d4+=g5=h4=Be7=hxg5+=Kg7=Qf7#,105
d4=b6=Nf3=Bb7=Bg5=e6=Bxd8,103
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Kg8=Bxd5+=Qxd5=Qxd5+=Be6=Qxe6#,98
e4=e5=Nf3=Nc6=d4=Bc5=dxc5,98
e4=e5=Nf3=d6=d4=Bg4=dxe5=Bxf3=Qxf3=dxe5=Bc4=Nf6=Qb3=b6=Bxf7+=Ke7=Qe6#,97
e4=c5=c3=Nc6=d4=cxd4=cxd4=d5=exd5=Qxd5=Nf3=Bg4=Be2=Bxf3=Bxf3=Qxd4=Bxc6+,96
e4=d5=exd5=Nf6=d4=Bg4=c4=Bxd1,95
d4=d5=Nf3=e6=Bg5=c5=Bxd8,94
e4=e5=d4=Nc6=d5=Nd4=c3,94
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nxd5=Nxf7=Kxf7=Qf3+=Kg8=Bxd5+=Be6=Bxe6#,93
e4=e5=Nf3=d6=d4=Bg4=dxe5=Bxf3=Qxf3=dxe5=Bc4=Nf6=Qb3=Nbd7=Bxf7+=Ke7=Qe6#,92
e4=e5=Bc4=Nc6=Qf3=Bc5=Qxf7#,90
e4=e5=Nf3=Nf6=Nxe5=Nxe4=Qe2=Nf6=Nc6+,89
e4=d5=Nf3=dxe4=Ng5=Nf6=d3=exd3=Bxd3=h6=Nxf7=Kxf7=Bg6+=Kxg6=Qxd8,88
d4=d5=Nf3=c6=Bg5=e6=Bxd8,85
d4=g6=Nf3=Bg7=Bg5=e6=Bxd8,85
b3=g6=Bb2=Bg7=Bxg7=Nf6=Bxh8,85
e4=d5=Nf3=dxe4=Ng5=Nf6=d3=exd3=Bxd3=h6=Nxf7=Kxf7=Bg6+=Kg8=Qxd8,84
e4=e5=Bc4=d6=Qh5=Nf6=Qxf7#,83
e4=e5=Bc4=Nc6=Qf3=d6=Qxf7#,82
e4=e5=Nf3=d6=d4=Bg4=dxe5=Bxf3=Qxf3=dxe5=Bc4=Nf6=Qb3=Nxe4=Bxf7+=Ke7=Qe6#,80
b4=e5=Bb2=Nc6=b5=Nd4=e3=Nxb5=Bxb5,79
e4=e5=Nf3=Nc6=d4=exd4=Nxd4=Bc5=Nxc6=Qf6=Bd3=Qxf2#,78
e4=e5=Nf3=Nc6=Bc4=Nd4=Nxe5=Qg5=Bxf7+=Ke7=Bxg8=Qxg2=Rf1=Qxe4+,78
d4=Nf6=Bg5=Ne4=Bf4=g5=Be5=f6=e3=fxe5=Qh5#,78
e4=e5=Nf3=Nc6=d4=exd4=Bc4=Be7=c3=dxc3=Qd5=d6=Qxf7+=Kd7=Be6#,77
d4=d5=c4=e5=dxe5=d4=Nf3=Nc6=e3=Bb4+=Bd2=dxe3=Bxb4=exf2+=Kxf2=Qxd1,76
e4=Nc6=d4=d5=exd5=Qxd5=Nf3=Bg4=Be2=Bxf3=Bxf3=Qxd4=Bxc6+,75
b3=d5=Bb2=Bg4=e3=Bxd1,75
e4=e5=d4=exd4=Qxd4=Nc6=Qc3=Bb4,75
e4=e5=Nf3=Nc6=d4=exd4=Nxd4=Bc5=Be3=Nf6=Nxc6,71
e4=g6=Bc4=Bg7=Qf3=b6=Qxf7#,71
e4=e5=Nf3=Nc6=Bc4=Nf6=Ng5=d5=exd5=Nd4=d6=Qxd6=Nxf7=Qc6=Nxh8=Qxg2=Rf1=Qe4+=Be2=Nf3#,69
e4=g6=d4=Bg7=Bh6=d6=Bxg7,67
e4=c5=Nf3=g6=d4=cxd4=Qxd4=Bg7=Qxg7,66
e4=e5=Nf3=d6=d4=Bg4=dxe5=Bxf3=Qxf3=dxe5=Bc4=f6=Qb3=Ne7=Bf7+=Kd7=Qe6#,65
e4=d5=exd5=Nf6=c4=e6=dxe6=Bxe6=d4=Bb4+=Nc3=Ne4=Bd2=Qxd4=Nf3=Qxf2#,65
e4=e5=Nf3=Nc6=d4=exd4=Bc4=Bb4+=c3=dxc3=bxc3=Be7=Qd5,64
e4=e5=Nf3=d6=Bc4=Bg4=Nc3=h6=Nxe5=Bxd1=Bxf7+=Ke7=Nd5#,64
